RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,WEBSITE,PROFIT
163,MARRIOTT INTERNATIONAL,10400 FERNWOOD ROAD,NOT AVAILABLE,BETHESDA,MD,20817,MONTGOMERY,226500,17072,39.02452,-77.13904,HTTPS://WWW.MARRIOTT.COM/DEFAULT.MI,780
412,DISCOVERY COMMUNICATIONS,1 DISCOVERY PLACE,NOT AVAILABLE,SILVER SPRING,MD,20910,MONTGOMERY,7000,6497,38.99502,-77.02808,HTTPS://CORPORATE.DISCOVERY.COM/,1194
344,ANADARKO PETROLEUM,1201 LAKE ROBBINS DRIVE,NOT AVAILABLE,THE WOODLANDS,TX,77380,MONTGOMERY,4500,7869,30.16059,-95.4541,HTTPS://WWW.ANADARKO.COM/,-3071
319,AVIS BUDGET GROUP,6 SYLVAN WAY,NOT AVAILABLE,PARSIPPANY,NJ,7054,MORRIS,25600,8659,40.84933,-74.44997,HTTP://WWW.AVISBUDGETGROUP.COM/,163
172,PBF ENERGY,1 SYLVAN WAY,SUITE 2,PARSIPPANY,NJ,7054,MORRIS,3165,15920,40.84762,-74.45694,HTTP://WWW.PBFENERGY.COM/,170.8
461,WYNDHAM WORLDWIDE,22 SYLVAN WAY,NOT AVAILABLE,PARSIPPANY,NJ,7054,MORRIS,37800,5599,40.84681,-74.44784,HTTP://WWW.WYNDHAMDESTINATIONS.COM/WD/HOME.PAGE,611
366,QUEST DIAGNOSTICS,500 PLAZA DRIVE,NOT AVAILABLE,SECAUCUS,NJ,7094,HUDSON,43000,7515,40.787834,-74.04493,HTTPS://WWW.QUESTDIAGNOSTICS.COM/HOME.HTML,645
448,REALOGY HOLDINGS,175 PARK AVENUE,NOT AVAILABLE,MADISON,NJ,7940,MORRIS,11800,5810,40.77162,-74.42197,HTTPS://WWW.REALOGY.COM/,213
73,HONEYWELL INTERNATIONAL,101 COLUMBIA ROAD,NOT AVAILABLE,MORRIS TOWNSHIP,NJ,7962,MORRIS,131000,39302,40.79199,-74.44436,HTTPS://WWW.HONEYWELL.COM/,4809
126,AFLAC,1932 WYNNTON ROAD,NOT AVAILABLE,COLUMBUS,GA,31999,MUSCOGEE,10212,22559,32.46836,-84.96455,HTTPS://WWW.AFLAC.COM/,2659
